tidsperiod,indikator,plats,vardegrupp,vardetyp,antal_fall,konfidensintervall_lag,konfidensintervall_hog,varde
2016,330,13,5,4,3517,9.28859093141067,11.2971355400138,10.2928632357123
2013,330,08,4,4,3558,5.49757787855704,7.09376557282014,6.29567172568859
2016,330,18,4,4,3565,6.33343458533881,8.02841674705951,7.18092566619916
2016,330,03,4,4,3578,11.7326505006281,13.9241410030052,12.8283957518167
2012,330,22,4,4,3584,6.43164048630324,8.1330916565539,7.28236607142857
2013,330,21,5,4,3587,9.8805899529974,11.9203579143012,10.9004739336493
2012,330,24,4,4,3590,10.2731822067839,12.3452021943303,11.3091922005571
2016,330,17,5,4,3592,10.0536743503588,12.10668199708,11.0801781737194
2013,330,18,4,4,3597,6.1191554583134,7.78131715775555,6.95023630803447
2014,330,22,4,4,3601,6.87462856223169,8.62106707786828,7.74784782004999
2013,330,13,5,4,3603,9.70339334027274,11.723195613377,10.7132944768249
2015,330,03,4,4,3609,12.0585493888333,14.2645317970908,13.161540592962
2014,330,25,5,4,3615,8.61218566596341,10.5302762980753,9.57123098201937
2016,330,13,4,4,3620,8.41557539830454,10.3137063696513,9.3646408839779
2015,330,25,5,4,3627,7.55841077158109,9.37018035055842,8.46429556106975
2016,330,19,4,4,3640,8.84147781962069,10.7739067957639,9.80769230769231
2015,330,24,4,4,3670,9.62963173223029,11.6237742623201,10.6267029972752
2012,330,03,4,4,3672,12.218051363807,14.4159355642976,13.3169934640523
2012,330,13,4,4,3688,7.45850876896338,9.24431118765267,8.35140997830803
2014,330,24,4,4,3694,8.94447833696155,10.8714393674239,9.90795885219275
2012,330,17,5,4,3701,9.75575212399492,11.7519484974587,10.7538503107268
2015,330,13,5,4,3701,9.54848060320006,11.5269044278726,10.5376925155363
2013,330,22,4,4,3723,6.26654971217934,7.9155614884653,7.09105560032232
2017,330,13,4,4,3730,8.44906112973647,10.3179974761763,9.35656836461126
2017,330,20,5,4,3739,7.68967867292016,9.48289970134065,8.55843808504948
2014,330,03,4,4,3742,12.0910987034709,14.258446994017,13.174772848744
2012,330,20,5,4,3744,8.2627588408898,10.1133095351786,9.18803418803419
2016,330,25,4,4,3745,10.9746339955797,13.0574087280518,12.0160213618158
2013,330,03,4,4,3746,11.1001873298881,13.1923914207792,12.1462893753337
2014,330,21,5,4,3746,9.91959189628063,11.9170338378358,10.9183128670582
2016,330,25,5,4,3746,10.3554643814792,12.3887961631017,11.3721302722904
2016,330,21,5,4,3750,9.37184788714817,11.3214854461852,10.3466666666667
2012,330,21,4,4,3761,8.7333472734541,10.6232068344959,9.67827705397501
2016,330,20,5,4,3761,8.27597342580344,10.1233884460392,9.1996809359213
2014,330,13,4,4,3780,8.38574464539283,10.2385939789458,9.31216931216931
